
"αργώ, θα αργήσω",θα αργήσω να έρθω στο σχολείο ,"I am late/delay, I will be late/delay",I will be late to come to school
το μαγαζί,,the shop,
το κορμί,,body,
η στροφή ,το σκουπιδιάρικο που δεν μπορούσε να πάρει τη στροφή ,the turn/curve,the garbage truck that couldn't take the turn 
ειδικά (adv.),ειδικά σήμερα ,"especially, specifically ",especially today
δροστικός -ή-ό,θα την έβαζα να φτιάξει κάνα δροστικό σφηνάκι,"refreshing, cooling ",I would put her (make her) to make some refreshing shot 
η ανάκριση ,μου έκανε ανάκριση ,"interrogation, inquisition ",she made to me an interrogation 
πήζω ,Πως θα σου φαινόταν δυόμισι μήνες να πήζεις;,"I thicken/solidify, I am swamped/overwhelmed (informal)",How will it seem to you to be swamped for two and a half months?
"έρχομαι, ήρθα",τον κάνω να έρθει,"I come, I came",I make him come 
"ανακτώ, θα ανακτήσω (fut aor), ανέκτησα (aor) ",θα ανακτήσω τη δουλειά μου σύντομα ,"I regain/recover, I will regain..., I regained...",I will regain my job soon
"η απόρριψη, οι απόρριψες",μου πατάει απόρριψη ,the rejection(s),he presses reject on me
ο γύρος,αυτός είναι ο πρώτος γύρος του αγώνα,round,this is the first round of the match
η καταβολή ,υπάρχουν εκεί από καταβολής κόσμου ,"1. beginning, origin, foundation 2. payment, disbursement ",they've been there since the beginning of time
ο πάγος ,χωρίς πάγο και λεμόνι ,ice ,without ice and lemon 
το μούτρο,μου το 'κλεισε στα μούτρα ,the face (informal/sometimes rude),he closed it in my face!
"τρελαίνω, θα τρελάνω",θα με τρελάνεις,"I drove x crazy, I will drive x crazy",you will drive me crazy 
η απορία ,,"confusion, puzzlement, a question",
ντύνομαι ,"ντύνομαι, που λες, το μηδαμινό ενθουσιασμό",I dress myself/I put on,"I put on, as you say, the minimal excitement (metaphorical meaning of dress)"
βελτιώνω ,"δεν είχε βελτιωθεί (past perfect tense, βελτιωθεί = past (passive) participle)",I improve ,it hadn't improved 
"παίρνω, simple = πάρω ",θα πάρω το λεωφορείο για να πάω στη δουλειά,"take, receive",I will take the bus to go to work
ξεχωριστός -ή-ό,πρέπει να πω κάτι ξεχωριστό ,"special, unique, distinct",I should say something unique/special 
εξηγώ ,"Έτσι, για να μην τα εξηγώ και όλα ",I explain,"Like this, so that I won't explain everything"
παθαίνω,δε θα πάθουν τίποτα,"I experience, suffer",they won't suffer anything
"το σοκάκι, τα σοκάκια ",,the alleyway(s),
"σπρώχνω, θα σπρώξω",έσπρωξα την πόρτα για να την ανοίξει,"I push, shove; I will push, shove",I pushed the door to open it
γερό ποτήρι,,heavy drinker,
"η περιπλάνηση, οι περιπλανήσεις ",Έκανα κατι ολοήμερες περιπλανήσεις ,"wandering(s), roaming(s)",I did some all-day wanderings
"κανένας, καμία (καμιά more informal), κανένα (neuter κανένα often used casually if no specific gender)",δεν έχω καμιά ιδέα ,"none, no (informal version can sometimes mean one/some/any)",I don't have any idea 
η άκρη ,στην άκρη του δρόμου ,"the edge, end (of something, can also be figuratively the end/limit)",on the edge of the road 
το ακουστικό ,είχα κατεβάσει το ακουστικό ,the receiver ,I had hung up the receiver (literally: I had lowered the receiver)
"γραπώνω, θα γραπώσω ",γράπωσα ένα από τα λεμόνια που είχε στο μπαρ,"I grab/clutch, I will grab/clutch/seize",I grabbed one of the lemons that they had at the bar 
"το νόημα, τα νοήματα",τι είναι το νόημα της ζωής;,"the meaning, the meanings",what is the meaning of life?
η μπαργούμαν,εκεί πάει η μπαργούμαν,bar woman,the bar woman goes there
η πλατεία ,τα παιδιά παίζουν στην πλατεία κάθε απόγευμα ,the square/plaza (as in town square),the children play in the square every afternoon
προσπαθώ,θα προσπαθήσει,I try,he will try
γυρνάω,γυρνάω μετά από δυόμισι μήνες ,"I turn, return ",I return after two and a half months
ο εραστής,με τον κάθε επίδοξο εραστή,lover (usually male),with every hopeful lover
αφήνω,θα σε αφήσω με την απορία. θα αφήσω το βιβλίο στο τραπέζι. ,"I leave something (e.g. leave an object somewhere), I let/allow something",I will leave you with confusion. I will leave the book on the table. 
"τραβώ/τραβάω, τραβούσα, θα τραβήξω ",τράβηξα πάλι πίσω στην πρόσωπο της ,"I pull/drag, I was (imperf), I will (fut aor)",I pulled her head back again
μόλις,είχα μόλις γυρίσει,"just, as soon as",I had just returned/come back
το μέτωπο ,χάιδεψα το μέτωπο της,"forehead, front (as in storm front, political front, etc)",I caressed her forehead
"η τσάτα, οι τσάτες",,the loose thing(s),
η βεβαιότητα,είπα με τη βεβαιότητα ότι...,certainty,I said with (the) certainty that...
"το τασάκι, τα τασάκια ",,the ashtray ,
τσουγκρίζω ,"""Γεια μας"", με τσουγκράει",I clink/to strike lightly against each other (usually used when talking about clinking glasses during a toast or when two objects collide gently),"""Cheers"", she clinks glasses with me (literally she clinks me)"
η πλάκα,κάνουν και την πλάκα τους,joke,they're joking around/having fun
ρίχνω,Ρίχνω την μπάλα στο γήπεδο. ,"I throw, drop, pour, spill",I throw the ball on the field. 
ίδιος -α-ο (adj. m-f-n),του λέω τα ίδια ,same,I tell him the same things 
αναβιώνω,η παλιοπαρέα θα αναβίωνε,I revive,the old gang would revive 
"συλλαβίζω, συλλάβισα ",Θα συλλαβίσω την λέξη για να την καταλάβεις.,"I spell out/articulate, I spelled out/articulated ",I will spell out the word for you to understand it. 
πια ,δεν είναι εδώ πια,"anymore, now (adds emphasis, sense of finality!)",they're not here anymore 
πηγαίνω,θα πηγαίναμε,I go,we will go
το προσωπικό ,το θέμα είναι ότι δεν έβλεπα προσοπικό,staff/personnel (can also mean personal),the theme is that I didn't see the staff 
λυπάμαι,δε με λυπόταν;,"I feel sorry for, regret, sympathize (reflexive verb, so always used with reflexive pronouns like με and σε, can use μου if I am feeling sorry for myself)",she wasn't feeling sorry for me? (imperfect)
ο τζίρος,ποσοστά από το τζίρο,"the turnover, revenue of a business",percentage of the sales
παραπέρα (adv),ότι δεν υπάρχει ο κόσμος παραπέρα; ,"beyond, further",that the world doesn't exist beyond?
έντονος -η-ο,όχι αυτό το έντονο κόκκινο ,"strong, intense, vivid, powerful ",not that intense red 
εύχομαι,εύχομαι να περάσεις καλά στις διακοπές σου!,I wish,I wish for you to have a good time on your vacation!
"δηλώνω, δήλωνα",,"I declare/state/announce, I declared/stated/announced ",
άπονος -η-ο,"άπονη, κακιά μικρή ",heartless,"heartless, evil little one"
η πρωία,μέχρι πρωίας (gen.),morning,until morning 
σύντομα (adv),θα το κάνω σύντομα ,soon,I will do it soon
αυτόματος -ή-ό,η αυτόματη πόρτα άνοιξε μόνη της ,automatic ,the automatic door opened by itself 
βγάζω (non continuous = βγάλω),βγάζω τα ρούχα μου,"I take out, remove, earn",I take off my clothes
"προσγειώνω, προσγειώνομαι (middle/passive), θα προσγειωθώ, προσγειώθηκα ",...μέχρι μετά από λίγο καιρό να προσγειωθείς (middle/passive) στη γη από μόνος σου ή να σε προσγειώσει (active) αυτή ,"I land/come down to earth, I will land/..., I landed/... (can be literal or figurative)",...until after a little time you'll come down to earth by yourself or she'll bring you down to earth 
"διαπερνώ, θα διαπεράσω ",το βλέμμα της διαπερνούσε τα μάτια μου,"I penetrate/pierce, I will penetrate/pierce",her gaze was piercing my eyes
"σφάζω, έσφαζα",έσφαζε τα ζώα για το φαγητό ,"I slaughter, I was slaughtering",he was slaughtering the animals for food 
νυχτιάτικα ,βγήκα νυχτιάτικα (aor),at night/ in the middle of the night ,I went out at night 
απαντάω,τι να της απαντήσω;,I answer ,what should I answer her?
αισθάνομαι,κάνω αυτό για να μην αισθανθεί άσχημα,I feel,I do this so he doesn't feel bad
αρπάζω ,"με μια αυτόματη κίνηση, αρπάζω το ποτό που είχε μπροστά της και το κατεβάζω με μιας","I grab, snatch, seize","in one automatic movement, I grab the drink that she had in front of her and I drink it (bring it down) all at once "
κεράζω ,τώρα θα κεράσω εγώ τα σφηνάκια ,"I treat, offer (something to someone)",now I will treat/offer the shots
η απουσία,γυρνάω μετά από δυόμισι μήνες απουσίας (gen.),absence,I return after a two and a half month absence
άλλου γι' άλλου ,,all over the place,
το δέρμα ,με άφησε να δω το φως στο δέρμα της,"skin, leather",she let me look at the light on her skin
αραδιάζω ,αραδιάζω τα βιβλία στο τραπέζι ,"I lay out, scatter, enumerate/list out",I lay out the books on the table
ασυνείδητα ,,unconsciously/subconciously (adv),
"βάζω, έβαλα",,"I put (pres), I put (aor)",
χάλια (informal adj),,"awful, terrible (informal)",
πραγματικό ,νομίζω ότι όλο αυτό δεν είναι πραγματικό ,"real, genuine",I think that all of this isn't real 
η σοφίτα,Η σοφίτα του σπιτιού ήταν πολύ ζεστή,Attic,The attic of the house was very hot 
η κρίση ,,crisis,
"ζώνω, έζωσα ",με ζώσανε τα φίδια. οι στρατιώτες ζώσανε την πόλη,"I surround/encircle/gird, I will... (can be literal or figurative)",the snakes surrounded me (fig: I got really nervous). the soldiers surrounded the city. 
παίρνω,θα 'παιρνα τους κολλητούς μου,I take ,I would take my friends (or is it will??)
η πλύση ,ελπίζω να κάνουν πλύση στομάχου ,wash/washing (noun),I hope that they will do a wash of the stomach
ξαναγεμίζω,μπορείς να το ξαναγεμίσεις;,I refill,can you refill it?
φιλαράκο,δεν πειράζει φιλαράκο ,buddy,it's okay buddy 
το κλειδαράδικο,Κοίταξα τη βιτρίνα του κλειδαράδικου,the locksmith ,I saw the display window of the locksmith
η βιτρίνα ,,the display window/display case (of a shop),
μήπως ,μήπως να το κοιτάξω;,"maybe, perhaps, should?",should I take a look at it?
αξίζω,"Όταν έχεις κάτι όμορφο, δεν αξίζει να το θαυμάζεις;",I am worth/I deserve ,"When you have something beautiful, it isn’t worth admiring?"
"το βύσμα, τα βύσματα",έδωσα το βύσμα στον ηλεκτρολόγο ,the plug(s),I gave the plug to the electrician
"το ενδιαφέρον, τα ενδιαφέροντα ",έχει πιο πολύ ενδιαφέρον έτσι ,interest,you have much more interest like this (you are much more interesting like this)
"δανείζω, δανείζομαι, θα δανείσω","και το τελευταίο μας ποτήρι για Μαρτίνι, το δανείσαμε στο Χίλτον","I lend (active), I borrow (reflexive), I will lend ","and our last martini glass, we lent it to Hilton"
που,η ταινία που είδα ήταν πολύ ωραία,"that (as conjunction), where",the movie that I saw was very nice
σιγά μην,σιγά μην είμαι και δεκαπέντε!,like/as if (indicates disbelief/ that something is highly unlikely; colloquial),like I'm 15! 
το παρόν ,Προς το παρόν όχι!,"present (can mean current time, or also being present somewhere like in είναι παρόν)","for the present/current time, no!"
"χαρίζω, θα χαρίσω",ένιωσα να παίρνει την ανάσα μου και να μου χαρίζει την δική της (the να is used for subjunctive bc ένιωσα is a perception verb),"I give, I will give",I felt her take away my breath and give me hers 
το βαμβάκι ,με έσφαζε με το βαμβάκι ,cotton,she was slaughtering me with cotton (she's treating me in a gentle way but still hurting me) (hyperbole/sarcasm)
"το ποσοστό, τα ποσοστά",,percentage(s),
χρονίζω ,αλλά θα χρονίσουμε μέχρι να το βρω,"I take a long time, linger, take a long time, drag on",but we will take a long time/linger until I find it 
"τις προάλλες (accusative case for this noun phrase, informal and mostly used like this)","να δεις πως λεγόταν (3rd,s,imperfect,passive) αυτό που είχα πιει τις προάλλες ",the other day/a few days ago,you'll see what this thing that I had drank the other day was called 
καταπληκτικός -ή-ό,είχε καταπληκτικό σπίτι ,"amazing, fantastic, incredible",She had an incredible house
ακριβώς (adv -- one form),Αυτό ακριβώς θέλω,"exactly, precisely",I want this exactly
σάμπως ,σάμπως ξέρεις εσύ καλύτερα;,"as if, like, perhaps (informal, somewhat old fashioned; used for doubt, irony, rhetorical)",as if you know better?
"κρύβομαι, κρύφτηκα, θα κρυφτώ",απλά πιο πριν είχε κρυφτεί,"(reflexive) I am hiding, I hid, I will hide (aor fut)",simply before it had been hidden 
γενικά ,γενικά λάθος ,"generally, in general",wrong in general 
αδειάζω,θα έχει αδειάσει,"I empty, vacate",it will have emptied
μοστράρω,στο (σου + τα ?) μοστράρει ο άλλος ,"I show (off), display",the other shows it off to you 
Τέλος πάντων!,,Whatever/anyway/alright enough! (moving on),
"πλησιάζω, πλησίαζα",Πλησίαζε τα 29. ,"I am approaching, I was approaching",
"ο,η,το πρώην (adj)",,"former, ex-",
γνωστός -η-ο,,"known, famous, well-known",
"η γουλιά, οι γουλιές ",ήπια μια δυνατή γουλιά για να της δείξω ότι δεν κολλάω ,sip(s)/gulp(s),I took a big gulp to show her that I'm not affected/bothered
"διαλέγω, θα διαλέξω ",σάμπως εγώ το διάλεξα το μαλλί;,"I choose, I will choose",as if I chose the hair?
μπαράκι,δούλευε σε ένα μπαράκι ,little bar,
αφού,αφού δουλεύει εκεί,"since, as",since/as she works there
σπουδάζω,τι σπουδάζεις;,I study,what do you study?
γλιστρώ (γλιστράω more informal),έτσι γλίστρησα στα σοκάκια ,I slip,like this I slipped through the alleyways
"το νεύρο, τα νεύρα ",τα νευράκια,"the nerve, the nerves ",the little nerves 
λες και,μιλάει λες και ξέρει τα όλα ,"as if, as though ",she speaks as if she knows everything 
χτυπάω,χτυπάει κατευθείαν,"I strike, hit",it strikes immediately
σκοτεινός -ή-ό,ο δρόμος ήταν σκοτεινός ,dark,the road was dark 
ως,ως γνήσιος ανήρ,as,as a true man
"παράχω, παράκανα, θα παρακάμψω",μήπως το παράκανες;,"I overdo, I overdid, I will overdo",maybe you overdid it?
"πετυχαίνω, πέτυχα ",Φίλοι να σου πετύχουν!,"I succeed/achieve, I succeeded/achieved",may friends succeed (to/for) you (may you have good friends )
"το καμώμα, τα καμώματα",με αυτά σου τα καμώματα κακιά θα με πεθάνεις ,"deed(s), action(s), mischief/trick(s)",with these actions of yours you'll kill me in a cruel way 
η αυτοπεποίθηση ,απάντησα γεμάτος αυτοπεποίθηση ,self-confidence ,I answered full of self-confidence 
το φανό ,το πορτοκαλί χρώμα από το φανό του,"the lantern, lamp, light (source)",the orange color from his lamp
δεν πειράζει,,"it doesn't matter, no problem, it's okay",
"ο ρόλος, τον ρόλο",αλλά μάλλον δεν παίζει και κανένα ρόλο,the role,but it probably doesn't play any role (fig: but it probably doesn't matter at all) 
"η σκιά, οι σκιές",παρατηρούσα την σκιά,shadow(s),I was observing the shadow
"το κέφι, τα κέφια ",,"the mood, enthusiasm, spirit",
"γνωρίζω, γνώρισα",Όταν την γνώρισα...,"I know, I met",When I met her...
μερικός -ή-ό (adj.),όχι αυτό το έντονο κόκκινο που βάζουν μερικές ,"some, few",not that intense red that some put on
"το δηλητήριο, τα δηλητήρια ",αυτό σκέτο είναι δηλητήριο. πως το πίνεις;,poision(s),this by itself is poison. how do you drink it?
η επιλογή ,Πέταξα την απαράδεκτη επιλογή ,"choice, selection ",I threw away (rejected) the unacceptable choice 
"νουθετώ, θα νουθετήσω ",προσπάθησε να με νουθετήσει ,"I admonish, warn; I will...",she tried to warn/admonish me 
"διαμαρτύρομαι, θα διαμαρτυρηθώ, διαμαρτυρήθηκα",,"I complain/protest, I will complain, I complained ",
ίσως ,ίσως επειδή δεν μπορώ να το κάνω ,"perhaps, maybe",perhaps because I can't do it 
λαμπερός -ή-ό,ένα λαμπερό χαμόγελο ,"shiny, bright, radiant",a radiant smile 
"μπαίνω, μπήκα, θα μπω ",το παράθυρο υπάρχει εκεί για να μπαίνει ο ήλιος στο πρωί ,"I enter, I entered, I will enter",The window exists there for the sun to enter in the morning 
"σπάω, σπας, θα σπάσουμε",,"I break, you break, we will break",
άλλοτε ,άλλοτε σε ρεμπετάδικο ,"sometimes, at another time, previously",sometimes in a rembetadiko 
ζητώ (ζητάω more informal),είχα να του ζητήσω λεφτά,"I ask for, I request",I had to ask him for money
αντί,Ή φαντάζεσαι να είχαμε αντί για ουρανό ταβάνι;,(preposition meaning:) instead of ,or can you imagine if we had a ceiling instead of the sky? (the για connects the preposition and sky meaning instead of sky)
το πορτοφόλι,,the wallet,
πλανώ ,,I wander/roam,
η θητεία,πρώτο μέρος της θητείας,"term, service",first part of service 
απουσιάζω,θα απουσίαζε,"I am absent, I miss",he will (would) miss/be absent
δικαιώνω,Αλλά ποιος θα με δικαιώσει εμένα;,"I justify, I prove right",but who will prove me right?
η σχέση ,καμία σχέση ,"relation, connection ",no relation
καλώ ,ο πρώην φίλος που καλέσατε ,I call,the ex-friend that you (plural) called 
κάνα,εκτός από κάνα δυο φρικιά,"any, some (short for κανένα)",except for some two freaks 
ψιλοειρωνικός-ή-ό ,μου την είπε με ένα ψιλοειρωνικό χαμογελάκι ,slightly ironic,she said it to me with a slightly ironic smile 
η γκόμενα,η γκόμενά μου,"the girlfriend, girl, woman",my girlfriend
ξενερώνω,"Ξενερώνω, αλλά δεν το δείχνω","I am disappointed, turned off, I lose interest/enthusiasm/excitement","I am disappointed, but I don't show it"
λαχαίνω,εκεί μου έλαχε να πάω,to happen (by chance)/befall,it was my fate to go there (it happened to me that I should go there)
εδώ που τα λέμε ,,truth be told/to be honest/frankly speaking (literally means here where we say them),
η σκεπή ,η σκεπή του σχολείου ήταν πολύ παλιά ,roof,the roof of the school was very old
"η γνώμη, οι γνώμες ",,"the opnion(s), view(s)",
η πλάτη,η πλάτη μου πονάει ,back (body part),my back hurts 
το πεζοδρόμιο ,τα αυτοκίνητα που είχαν κλείσει το πεζοδρόμιο ,the pedestrian road,the cars which had blocked (closed) the pedestrian road 
Το ταβάνι ,,Ceiling,
δίχως (prepo.),δίχως καρδιά γυρίζω ,without ,without a heart I roam around 
"δίνω, θα δώσω, έδωσα",ο κουβαρντάς μου έδωσε πολλά λεφτά,"I give, I will give (simple future), I gave",the generous man gave me a lot of money
"η ατάκα, οι ατάκες ","απλά, γούσταρα τις ατάκες που πέταγα","one-liner, catchphrase ","simply, I liked the one-liners which I was throwing out "
χωρίζω,χωρίζω τα ρούχα μου,"I separate, break up",I separate my clothes 
ο καλλιτέχνης ,,artist,
η απόγευμα,,the afternoon,
ένδοξος -η-ο,,"glorious, famous",
απίστευτος -η-ο,,"unbelievable, incredible ",
το σφηνάκι,τρεις γύρες σφηνάκια,shot (of alcohol),three rounds of shots
"απομακρύνω, απομάκρυνα (aor/imperf), θα απομακρύνω (fut aor & contin), απομακρύνομαι (reflex.)",χωρίς να το απομακρύνει το πρόσωπο της...,"I distance (d.o.), remove (d.o.), take away (d.o.)",without taking away her head...
το σύμπαν ,,the universe ,
απαράδεκτος -η-ο,βάζει και απαράδεκτη μουσική ,"unnacceptable, inexcusable, intolerable, terrible",she puts unnaceptable music 
"χειρότερα (adv, also used as χειρότερος-η-ο adj)",είπε χειρότερα. ,worse (comparative form of κακός),he said worse. 
το παραμεθόριο,κάτι βύσματα κάνουν παραμεθόριο,"border, frontier",some plugs make a border
απομένω,το μηδαμινό ενθουσιασμό που μου είχε απομείνει,I remain,the minimal excitement that had remained in me 
το θέμα ,,"the topic, theme, subject, matter",
η κουβέντα,είχαμε μια κουβέντα,conversation/chat,we had a conversation
"υμνώ, υμνούσα, θα υμνήσω ",υμνούσες την ειρήνη,"I praise/sing a hymn, I was praising (imperfect), I will praise (aorist future)",you were praising peace 
ξαπλώνω ,είχαμε ξαπλώσει στο κρεβάτι ,I lie down/recline,we had laid down on the bed
οι τύπισσες,,the woman (colloquial),
